epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.027,0.84207,1.68168,0.19185,1.16512,1.06796,0.41568,0.45126,0.39827,0.32662,0.40344,0.43861,0.37406,0.27568,0.72112,1.14814,0.11028,0.94481,0.92757,0.000333215,0.000333215,0.0670118
2,1330.24,0.72764,1.46732,0.17768,1.01302,1.0173,0.49491,0.60316,0.48547,0.40253,0.48665,0.59567,0.46961,0.35255,0.60942,1.02774,0.10782,0.78557,0.904,0.000659949,0.000659949,0.0340052
3,1810.7,0.65043,1.28758,0.17062,0.89661,0.97232,0.53654,0.59805,0.52693,0.45512,0.52753,0.59385,0.51355,0.4024,0.55677,0.92359,0.10533,0.76836,0.86689,0.000980084,0.000980084,0.000991954
4,2230.98,0.6103,1.15748,0.16199,0.83484,0.95256,0.54267,0.70287,0.55354,0.47854,0.53374,0.69478,0.54112,0.44475,0.56675,0.82267,0.09824,0.76671,0.86494,0.0009703,0.0009703,0.0009703
5,2651.59,0.56435,1.06895,0.15519,0.78052,0.93022,0.52435,0.66503,0.53203,0.47616,0.51665,0.66096,0.5196,0.4247,0.45071,0.80934,0.09504,0.74261,0.83771,0.0009604,0.0009604,0.0009604
6,3070.32,0.53886,0.98408,0.14952,0.71453,0.91712,0.54304,0.68796,0.54119,0.46473,0.53482,0.67922,0.52525,0.44588,0.54401,0.72705,0.09254,0.72158,0.85016,0.0009505,0.0009505,0.0009505
7,3488.51,0.51222,0.93357,0.14438,0.6894,0.90667,0.5418,0.65752,0.54985,0.47659,0.53848,0.65403,0.54149,0.45048,0.56605,0.70172,0.09058,0.74209,0.85037,0.0009406,0.0009406,0.0009406
8,3911.61,0.50371,0.90888,0.14148,0.66195,0.90442,0.5372,0.59029,0.53208,0.46666,0.53349,0.58597,0.52301,0.4507,0.53458,0.67035,0.08715,0.76347,0.84683,0.0009307,0.0009307,0.0009307
9,4332.02,0.47791,0.84697,0.13845,0.62718,0.89332,0.46682,0.64366,0.4946,0.43724,0.46415,0.64036,0.49022,0.41775,0.49996,0.66462,0.08543,0.75453,0.83991,0.0009208,0.0009208,0.0009208
10,4750.89,0.4684,0.83568,0.13458,0.61131,0.89087,0.48222,0.65227,0.47934,0.42899,0.47824,0.64815,0.47322,0.39727,0.44379,0.64226,0.08506,0.79852,0.82831,0.0009109,0.0009109,0.0009109
11,5174.14,0.46165,0.82863,0.13393,0.59417,0.89041,0.48122,0.71702,0.50184,0.44148,0.47549,0.71136,0.49486,0.42239,0.50102,0.64322,0.08551,0.84804,0.83873,0.000901,0.000901,0.000901
12,5594.59,0.45069,0.80291,0.13084,0.57413,0.88386,0.48323,0.69051,0.46957,0.40859,0.47759,0.68925,0.46259,0.39496,0.54049,0.6593,0.07947,0.93596,0.84185,0.0008911,0.0008911,0.0008911
13,6014.11,0.45182,0.78191,0.12773,0.57565,0.88351,0.49012,0.6456,0.47569,0.42717,0.48788,0.64154,0.47113,0.40205,0.45052,0.62034,0.08226,0.89461,0.82927,0.0008812,0.0008812,0.0008812
14,6434.04,0.43769,0.75037,0.12405,0.55509,0.87858,0.4863,0.67383,0.48059,0.42256,0.48252,0.67017,0.47466,0.41162,0.52758,0.6158,0.08058,0.80653,0.83852,0.0008713,0.0008713,0.0008713
15,6856.07,0.42053,0.72455,0.12212,0.53592,0.87363,0.49354,0.66133,0.50025,0.43941,0.49122,0.65779,0.49444,0.43397,0.54811,0.58655,0.07704,0.83348,0.84026,0.0008614,0.0008614,0.0008614
16,7276.81,0.41783,0.72814,0.12116,0.53291,0.8754,0.4977,0.63164,0.47104,0.41194,0.49537,0.62928,0.46738,0.41233,0.55401,0.58065,0.07884,0.92824,0.84534,0.0008515,0.0008515,0.0008515
17,7695.05,0.41487,0.71429,0.11879,0.51363,0.87281,0.47078,0.71563,0.4677,0.40899,0.46792,0.71336,0.46187,0.40934,0.53896,0.56679,0.08025,0.94455,0.83656,0.0008416,0.0008416,0.0008416
18,8114.83,0.40662,0.68958,0.11674,0.50573,0.87038,0.48145,0.681,0.47386,0.42431,0.47861,0.67763,0.46813,0.41445,0.4813,0.56602,0.07977,0.88616,0.83084,0.0008317,0.0008317,0.0008317
19,8538.07,0.40037,0.7015,0.11697,0.49259,0.86822,0.49154,0.65071,0.4789,0.42066,0.48859,0.64728,0.47209,0.40928,0.5299,0.57758,0.07988,0.93371,0.8373,0.0008218,0.0008218,0.0008218
20,8963.93,0.38961,0.66711,0.11474,0.47544,0.86682,0.45272,0.69287,0.46071,0.40545,0.45069,0.69033,0.45732,0.40494,0.53379,0.5591,0.07427,0.99833,0.84025,0.0008119,0.0008119,0.0008119
21,9389.96,0.39035,0.65855,0.11223,0.47221,0.86257,0.46319,0.67518,0.47015,0.41699,0.45925,0.67088,0.46403,0.41027,0.49495,0.56171,0.07547,1.00616,0.83835,0.000802,0.000802,0.000802
22,9817.99,0.38482,0.65667,0.11226,0.46968,0.86414,0.42768,0.72139,0.46937,0.42258,0.4269,0.72061,0.4658,0.41426,0.4654,0.55899,0.074,0.92334,0.83031,0.0007921,0.0007921,0.0007921
23,10244.5,0.3768,0.63104,0.11028,0.46236,0.86118,0.44016,0.71297,0.45515,0.40549,0.43799,0.71043,0.45099,0.401,0.51121,0.52856,0.07443,1.09573,0.83586,0.0007822,0.0007822,0.0007822
24,10671.8,0.37631,0.62648,0.11045,0.46421,0.85987,0.47957,0.67174,0.46707,0.41833,0.47614,0.66775,0.46049,0.41144,0.50594,0.5364,0.07237,1.06251,0.83254,0.0007723,0.0007723,0.0007723
25,11100.6,0.37032,0.62863,0.11036,0.44766,0.85894,0.47241,0.64292,0.47824,0.42374,0.46932,0.63949,0.47257,0.42068,0.52026,0.54486,0.07533,1.07484,0.83399,0.0007624,0.0007624,0.0007624
